"V1","Tag"
580,"INDIVIDUAL RECORD"
261,"ECONOMIC ISSUES"
120,"GOVERNMENT OPERATIONS"
158,"VOTING/ELECTIONS"
2,"CIVIL RIGHTS MINORITY ISSUES AND CIVIL LIBERTIES"
41,"IMMIGRATION AND REFUGEE ISSUES"
23,"LGBTQ"
29,"RACE"
1,"RELIGION"
25,"SOCIAL WELFARE"
101,"EDUCATION"
123,"ABORTION/WOMEN"
184,"HEALTH"
216,"LAW AND CRIME AND POLICING"
39,"GUNS"
22,"HISTORY"
188,"LEGISLATION"
20,"AGRICULTURE"
74,"ENERGY AND ENVIRONMENT"
39,"COMMUNITY DEVELOPMENT AND HOUSING"
2,"TECHNOLOGY SCIENCE SPACE"
8,"MEDIA AND COMMUNICATIONS"
